ID_ESCOLA,TX_RESP_Q019_F,TX_RESP_Q023_F,TX_RESP_Q013_C,TX_RESP_Q012_C,TX_RESP_Q014_C,IN_LABORATORIO_CIENCIAS,TX_RESP_Q012_B,IN_COMUM_EJA_FUND,IN_EJA,TX_RESP_Q042_B,TX_RESP_Q041_C,IN_COMUM_FUND_AF,TX_RESP_Q042_C,TX_RESP_Q004_F,TX_RESP_Q004_H,TX_RESP_Q004_G,IDEB 2017,Classe-IDEB
26106582,0.0,2.0,2.0,1.0,6.0,0.0,8.0,1.0,1.0,8.0,5.0,1.0,0.0,1.0,0.0,0.0,2.8,Abaixo da média
26106612,1.0,2.0,6.0,3.0,14.0,0.0,16.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,3.5,Abaixo da média
26106698,0.0,0.0,1.0,2.0,10.0,0.0,14.0,0.0,0.0,3.0,3.0,1.0,1.0,3.0,0.0,1.0,3.6,Abaixo da média
26106957,10.0,2.0,4.0,4.0,24.0,0.0,29.0,0.0,1.0,3.0,5.0,0.0,2.0,1.0,0.0,1.0,4.3,Acima da média
26107074,0.0,1.0,4.0,1.0,9.0,0.0,10.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.3,Abaixo da média
26137149,2.0,3.0,4.0,1.0,8.0,0.0,17.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.5,Acima da média
26014564,4.0,3.0,2.0,4.0,12.0,1.0,24.0,0.0,1.0,14.0,7.0,1.0,2.0,6.0,0.0,2.0,3.9,Abaixo da média
26014670,9.0,7.0,9.0,6.0,21.0,1.0,17.0,0.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,4.9,Acima da média
26187566,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,2.0,5.0,0.0,1.0,2.0,3.0,2.0,2.8,Abaixo da média
26081849,4.0,4.0,1.0,3.0,29.0,1.0,36.0,0.0,1.0,7.0,10.0,0.0,0.0,2.0,1.0,1.0,3.8,Abaixo da média
26096358,4.0,0.0,1.0,0.0,8.0,0.0,9.0,1.0,1.0,5.0,2.0,0.0,1.0,5.0,2.0,0.0,3.3,Abaixo da média
26049562,9.0,1.0,4.0,4.0,17.0,0.0,25.0,0.0,0.0,7.0,10.0,0.0,0.0,7.0,1.0,4.0,4.2,Acima da média
26086905,12.0,3.0,6.0,8.0,37.0,0.0,24.0,0.0,0.0,7.0,8.0,0.0,1.0,5.0,0.0,2.0,4.6,Acima da média
26087022,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.5,Abaixo da média
26082020,1.0,2.0,4.0,2.0,18.0,0.0,25.0,1.0,1.0,14.0,27.0,1.0,11.0,13.0,15.0,5.0,3.3,Abaixo da média
26082179,6.0,3.0,5.0,6.0,21.0,1.0,22.0,0.0,0.0,4.0,6.0,0.0,0.0,5.0,0.0,0.0,4.8,Acima da média
26097117,12.0,8.0,3.0,0.0,17.0,0.0,11.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,4.5,Acima da média
26097249,1.0,1.0,1.0,0.0,5.0,0.0,8.0,1.0,1.0,6.0,6.0,0.0,2.0,1.0,2.0,2.0,3.9,Abaixo da média
26071924,5.0,2.0,2.0,1.0,22.0,0.0,19.0,0.0,1.0,13.0,14.0,0.0,1.0,5.0,6.0,4.0,3.7,Abaixo da média
26000024,3.0,2.0,1.0,3.0,11.0,1.0,17.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,4.8,Acima da média
26000636,3.0,1.0,0.0,0.0,6.0,0.0,10.0,0.0,0.0,4.0,7.0,1.0,0.0,3.0,1.0,3.0,3.4,Abaixo da média
26000741,3.0,2.0,5.0,0.0,15.0,1.0,31.0,1.0,1.0,8.0,3.0,1.0,3.0,8.0,0.0,1.0,4.0,Média
26000792,0.0,0.0,2.0,0.0,1.0,0.0,11.0,1.0,1.0,1.0,2.0,1.0,0.0,3.0,0.0,1.0,3.4,Abaixo da média
26001225,4.0,0.0,3.0,1.0,3.0,0.0,6.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,4.1,Acima da média
