,ID_ESCOLA,TX_RESP_Q019_F,TX_RESP_Q023_F,TX_RESP_Q013_C,TX_RESP_Q012_C,TX_RESP_Q014_C,IN_LABORATORIO_CIENCIAS,TX_RESP_Q012_B,IN_COMUM_EJA_FUND,IN_EJA,TX_RESP_Q042_B,TX_RESP_Q041_C,IN_COMUM_FUND_AF,TX_RESP_Q042_C,TX_RESP_Q004_F,TX_RESP_Q004_H,TX_RESP_Q004_G,Classe-IDEB
0,26106582,0.0,2.0,2.0,1.0,6.0,0.0,8.0,1.0,1.0,8.0,5.0,1.0,0.0,1.0,0.0,0.0,Abaixo da média
1,26106612,1.0,2.0,6.0,3.0,14.0,0.0,16.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,Abaixo da média
2,26106698,0.0,0.0,1.0,2.0,10.0,0.0,14.0,0.0,0.0,3.0,3.0,1.0,1.0,3.0,0.0,1.0,Abaixo da média
3,26106957,10.0,2.0,4.0,4.0,24.0,0.0,29.0,0.0,1.0,3.0,5.0,0.0,2.0,1.0,0.0,1.0,Média
4,26107074,0.0,1.0,4.0,1.0,9.0,0.0,10.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,Abaixo da média
5,26137149,2.0,3.0,4.0,1.0,8.0,0.0,17.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Acima da média
6,26014564,4.0,3.0,2.0,4.0,12.0,1.0,24.0,0.0,1.0,14.0,7.0,1.0,2.0,6.0,0.0,2.0,Abaixo da média
7,26014670,9.0,7.0,9.0,6.0,21.0,1.0,17.0,0.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,Acima da média
8,26187566,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,2.0,5.0,0.0,1.0,2.0,3.0,2.0,Abaixo da média
9,26081849,4.0,4.0,1.0,3.0,29.0,1.0,36.0,0.0,1.0,7.0,10.0,0.0,0.0,2.0,1.0,1.0,Abaixo da média
10,26096358,4.0,0.0,1.0,0.0,8.0,0.0,9.0,1.0,1.0,5.0,2.0,0.0,1.0,5.0,2.0,0.0,Abaixo da média
11,26049562,9.0,1.0,4.0,4.0,17.0,0.0,25.0,0.0,0.0,7.0,10.0,0.0,0.0,7.0,1.0,4.0,Abaixo da média
